Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-09-15,857.0,864.8,848.05,864.5,854.55,354212.0,3035.49
2016-09-16,868.0,905.0,852.3,880.0,889.1,461021.0,4040.71
2016-09-19,892.3,911.9,874.25,891.0,884.55,541593.0,4845.11
2016-09-20,892.65,917.0,885.1,904.0,904.1,507924.0,4575.92
2016-09-21,909.0,961.75,905.0,937.0,938.3,565165.0,5188.76
2016-09-22,949.0,1074.0,927.05,936.6,938.5,575037.0,5433.44
2016-09-23,945.0,962.0,910.0,956.0,947.9,549165.0,5104.42
2016-09-26,947.7,950.05,897.0,897.0,903.15,574128.0,5329.6
2016-09-27,906.0,922.75,892.35,916.95,907.5,569226.0,5159.37
2016-09-28,921.2,929.6,904.0,929.0,927.45,574524.0,5297.77
2016-09-29,935.0,936.5,880.0,895.0,891.15,522219.0,4760.23
2016-09-30,908.85,908.85,880.5,889.9,891.25,507361.0,4508.27
2016-10-03,892.1,924.0,892.0,913.0,911.7,559343.0,5046.56
2016-10-04,915.05,930.0,875.2,921.6,921.6,551567.0,5037.94
2016-10-05,934.95,934.95,911.7,930.0,930.1,534770.0,4931.19
2016-10-06,932.0,936.0,886.6,899.0,898.5,555786.0,5145.98
2016-10-07,904.4,919.9,900.95,913.2,912.0,635653.0,5779.1
2016-10-10,924.3,929.0,888.05,910.3,917.4,589446.0,5411.82
2016-10-13,914.7,934.7,891.05,925.15,912.4,352790.0,3189.5
2016-10-14,915.0,935.5,915.0,932.0,928.75,347302.0,3215.3
2016-10-17,937.8,937.8,890.0,896.0,892.8,376406.0,3436.37
2016-10-18,893.0,909.8,893.0,909.45,908.55,368927.0,3337.06
2016-10-19,911.05,915.25,896.0,907.0,906.75,348325.0,3151.18
2016-10-20,915.0,915.0,895.85,900.55,898.25,389876.0,3538.27
2016-10-21,904.0,905.0,860.0,860.0,862.3,575926.0,5044.84
2016-10-24,875.0,890.0,852.2,863.6,859.6,462343.0,4008.57
2016-10-25,852.0,870.0,821.0,863.0,864.75,353418.0,3045.22
2016-10-26,865.0,868.5,855.5,859.0,861.6,408071.0,3513.07
2016-10-27,878.0,935.0,861.6,926.0,924.6,500595.0,4550.66
2016-10-28,933.0,971.9,933.0,961.0,961.2,408168.0,3875.52
2016-10-30,967.75,990.0,960.15,961.0,973.1,139479.0,1365.52
2016-11-01,969.8,969.9,915.15,945.0,946.55,327257.0,3072.15
2016-11-02,935.0,951.95,914.0,949.0,943.0,370269.0,3457.27
2016-11-03,947.0,984.5,931.0,974.0,973.5,365377.0,3479.75
2016-11-04,978.0,978.0,943.6,953.0,956.55,361341.0,3459.78
2016-11-07,964.35,978.3,951.25,972.1,973.6,343039.0,3319.97
2016-11-08,975.05,1010.0,973.35,996.0,999.7,385808.0,3840.51
2016-11-09,816.05,990.0,799.8,972.0,973.8,329137.0,3024.95
2016-11-10,977.0,999.0,921.05,932.5,938.2,297943.0,2886.34
2016-11-11,920.05,940.0,910.2,925.95,923.2,307715.0,2855.18
2016-11-15,934.95,951.0,895.15,950.0,929.6,352381.0,3257.07
2016-11-16,944.0,958.8,919.05,955.0,950.15,323988.0,3064.31
2016-11-17,931.1,1010.0,931.1,988.1,988.95,364886.0,3536.68
2016-11-18,984.0,1078.0,963.35,1050.0,1060.3,379911.0,3810.25
2016-11-21,1046.0,1137.0,1015.0,1105.8,1105.2,415894.0,4517.48
2016-11-22,1111.0,1180.0,1111.0,1143.0,1137.1,364384.0,4126.4
2016-11-23,1144.05,1175.0,1131.65,1167.05,1162.7,337995.0,3896.38
2016-11-24,1159.9,1189.9,1130.0,1149.9,1161.6,331751.0,3865.62
2016-11-25,1165.05,1217.95,1146.05,1203.9,1196.95,346099.0,4070.44
